Authors;Year;Paper ID;Title;Abstract
S. Cowin;2001;2808c73101b9f4cf99334c94398da178f26161cc;Bone mechanics handbook;Basic Biology Integrated Bone Tissue Physiology: Anatomy and Physiology (Jee) Cell Biology of Bone (Majeska) Molecular Biology Techniques to Measure Skeletal Gene Expression (Young and Dieudonne) Creating Transgenic Mice to Study Skeletal Function (Young and Xu) Bone Mineralization (Boskey) Techniques from Mechanics and Imaging Mechanics of Materials (Cowin) Experimental Techniques for Bone Mechanics (Turner and Burr) In Vivo Measurement of Bone Deformations Using Strain Gages (Fritton and Rubin) Imaging of Bone Structure (Ruegsegger) Mechanical and Architectural Properties of Bone Mechanical Properties of Cortical Bone and Cancellous Bone Tissue (Guo) Viscoelastic Properties of Cortical Bone (Lakes) Composite Models of Bone Properties (Lucchinetti) Dense Bone Tissue as a Molecular Composite (Lucchinetti) Quantification of Cancellous Bone Architecture (Odgaard) Elastic Constants of Cancellous Bone (von Rietbergen and Huiskes) Strength of Trabecular Bone (Keaveny) Observations of Damage in Bone (Jepsen, Davy, and Akkus) Bone Damage Mechanics (Davy and Jepsen) Ontogenic Changes in Compact Bone Material Properties (Currey) Mechanical Effects of Postmortem Changes, Preservation, and Allograft Bone Treatments (Martin and Sharkey) Flow of Fluids in Bone Blood Flow in Bone (Winet) Interstitial Fluid Flow (Knothe-Tate) Bone Poroelasticity (Cowin) Streaming Potentials in Bone (Pollack) The Intrinsic Permeability of Cancellous Bone (Arramon and Nauman) Bone Adaptation Pathophysiology of Functional Adaptation of Bone in Remodeling and Repair In Vivo (Goodship and Cunningham) Devices and Techniques for in Vitro Mechanical Stimulation of Bone Cells (Brown) Experiments on Cell Mechanosensitivity (Burger) Mechanosensory Mechanisms in Bone (Cowin and Moss) The False Premise of Wolff's Law (Cowin) Bone Modeling and Remodeling: Theories and Computation (Hart) Mechanics of Bone Regeneration (Prendergast and van der Meulen) Clinically Related Issues Applications of Bone Mechanics (Villarraga and Ford) Noninvasive Measurement of Bone Integrity (Kaufman and Siffert) Bone Prostheses and Implants (Prendergast) Design and Manufacture of Bone Replacement Scaffolds (Hollister, Chu, Halloran, and Feinberg)
J. Currey;2002;f293abfbb04d8ce7c8277bf5dcdc484ce2622481;Bones: Structure and Mechanics;This is a comprehensive and accessible overview of what is known about the structure and mechanics of bone, bones, and teeth. In it, John Currey incorporates critical new concepts and findings from the two decades of research since the publication of his highly regarded The Mechanical Adaptations of Bones. Crucially, Currey shows how bone structure and bone's mechanical properties are intimately bound up with each other and how the mechanical properties of the material interact with the structure of whole bones to produce an adapted structure.  For bone tissue, the book discusses stiffness, strength, viscoelasticity, fatigue, and fracture mechanics properties. For whole bones, subjects dealt with include buckling, the optimum hollowness of long bones, impact fracture, and properties of cancellous bone. The effects of mineralization on stiffness and toughness and the role of microcracking in the fracture process receive particular attention. As a zoologist, Currey views bone and bones as solutions to the design problems that vertebrates have faced during their evolution and throughout the book considers what bones have been adapted to do. He covers the full range of bones and bony tissues, as well as dentin and enamel, and uses both human and non-human examples
D. Pahr and A. Reisinger;2020;64b23a9eeb05f6ddb6172fc4fb193956b8bda8ef;A Review on Recent Advances in the Constitutive Modeling of Bone Tissue;Image-based finite element analysis (FEA) to predict and understand the biomechanical response has become an essential methodology in musculoskeletal research. An important part of such simulation models is the constitutive material model of which recent advances are summarized in this review. The review shows that existing models from other fields were introduced, such as cohesion zone (cortical bone) or phase-field models (trabecular bone). Some progress has been made in describing cortical bone involving physical mechanisms such as microcracks. Problems with validations at different length scales remain a problem. The improvement of recent constitutive models is partially obscured by uncertainties that affect overall predictions, such as image quality and calibration or boundary conditions. Nevertheless, in vivo CT-based FEA simulations based on a sophisticated constitutive behavior are a very valuable tool for clinical-related osteoporosis research
Q. He and A. Curnier;1995;27f69ed85d41b5e9c36627b1167556f7e2340882;A more fundamental approach to damaged elastic stress-strain relations;
T. Harrigan and R. Mann;1984;440abe997a380bb6a2ab31b8c6281410c10aa592;Characterization of microstructural anisotropy in orthotropic materials using a second rank tensor;A second rank symmetric tensor which describes the degree of orientation in orthotropic materials is presented and shown to reflect accurately patterns of experimental data. The use of this tensor to describe microstructural anisotropy is compared to currently accepted methods and is found to be more useful and accurate in experimental studies. A method for determining the anisotropy tensor in a material is given, based on measurements on any three mutually perpendicular planes, and the fundamental restriction of this method to orthotropic materials is discussed. Experimentally determined anisotropy tensors in five specimens of cancellous bone from five different human bones are given
J. Mandel;1965;7603918300efd09869062077125ed1ca15b5f1dd;Generalisation de la theorie de plasticite de W. T. Koiter;
R. Moreno and M. Borga and Ö. Smedby;2014;2926595b682fab9594fc25f58ce9953c44528443;Techniques for Computing Fabric Tensors: A Review;The aim of this chapter is to review different approaches that have been proposed to compute fabric tensors with emphasis on trabecular bone research. Fabric tensors aim at modeling through tensors both anisotropy and orientation of a material with respect to another one. Fabric tensors are widely used in fields such as trabecular bone research, mechanics of materials and geology. These tensors can be seen as semi-global measurements since they are computed in relatively large neighborhoods, which are assumed quasi-homogeneous. Many methods have been proposed to compute fabric tensors. We propose to classify fabric tensors into two categories: mechanics-based and morphology-based. The former computes fabric tensors from mechanical simulations, while the latter computes them by analyzing the morphology of the materials. In addition to pointing out advantages and drawbacks for each method, current trends and challenges in this field are also summarized
Jing Lian and Zhen Yang and Jizhao Liu and Wenhao Sun and Li Zheng and Xiaogang Du and Zetong Yi and Bin Shi and Yide Ma;2019;ae093b97bd711a1d7e209d04c3367a73bb5e2dff;An Overview of Image Segmentation Based on Pulse-Coupled Neural Network;Recent many researchers focus on image segmentation methods due to the rapid development of artificial intelligence technology. Hereinto, pulse-coupled neural network (PCNN) has a great potential based on the properties of neuronal activities. This paper elaborates internal behaviors of the PCNN to exhibit its image segmentation abilities. There are three significant parts: dynamic properties, parameter setting and complex PCNN. Further, we systematically provide the related segmentation contents of the PCNN, and hope to help researchers to understand suitable segmentation applications of PCNN models. Many corresponding examples are also used to exhibit PCNN segmentation effects
H. Zhuang and K. Low and W. Yau;2012;8903d7043a139c1946fc9a4f50b895caaede1533;Multichannel Pulse-Coupled-Neural-Network-Based Color Image Segmentation for Object Detection;This paper proposes a pulse-coupled neural network (PCNN) with multichannel (MPCNN) linking and feeding fields for color image segmentation. Different from the conventional PCNN, pulse-based radial basis function units are introduced into the model neurons of PCNN to determine the fast links among neurons with respect to their spectral feature vectors and spatial proximity. The computing of the color image segmentation can be implemented in parallel on a field-programmable-gate-array chip. Furthermore, the results of segmentations are applied to an object-detection scheme. Experimental results show that the performance of the proposed MPCNN is comparable to those of other popular image segmentation algorithms for the segmentation of noisy images while its parallel neural circuits improve the speed of processing drastically as compared with the sequential-code-based counterparts.
Brian K. Bay;2008;71ec39f4863a8d7d68004a7477af73b540ab93e9;Methods and applications of digital volume correlation;Digital volume correlation, an experimental method for volumetric strain measurement, has experienced a growth in technique development and application since its introduction in 1999. This has largely been the result of more accessible volumetric imaging methods and greater speed and capacity of computational facilities. This paper reviews recent work using the method and presents examples from the author's laboratory. The emerging message is that, although closely related to the surface-oriented method of digital image correlation, the volume method is distinct due to its predominant reliance on naturally occurring image texture for displacement tracking. This requires careful tuning for successful application with different materials, and therefore the appropriate focus should not be on developing the 'best' digital volume correlation method, but on developing a set of tools that can be selected from and adjusted to specific mechanics problems.
E. Dall'Ara and G. Tozzi;2022;329429a7c993020e2e9a8fede564549f7c03eadd;Digital volume correlation for the characterization of musculoskeletal tissues: Current challenges and future developments;Biological tissues are complex hierarchical materials, difficult to characterise due to the challenges associated to the separation of scale and heterogeneity of the mechanical properties at different dimensional levels. The Digital Volume Correlation approach is the only image-based experimental approach that can accurately measure internal strain field within biological tissues under complex loading scenarios. In this minireview examples of DVC applications to study the deformation of musculoskeletal tissues at different dimensional scales are reported, highlighting the potential and challenges of this relatively new technique. The manuscript aims at reporting the wide breath of DVC applications in the past 2 decades and discuss future perspective for this unique technique, including fast analysis, applications on soft tissues, high precision approaches, and clinical applications.
O. Ronneberger and P. Fischer and T. Brox;2015;6364fdaa0a0eccd823a779fcdd489173f938e91a;U-Net: Convolutional Networks for Biomedical Image Segmentation;There is large consent that successful training of deep networks requires many thousand annotated training samples. In this paper, we present a network and training strategy that relies on the strong use of data augmentation to use the available annotated samples more efficiently. The architecture consists of a contracting path to capture context and a symmetric expanding path that enables precise localization. We show that such a network can be trained end-to-end from very few images and outperforms the prior best method (a sliding-window convolutional network) on the ISBI challenge for segmentation of neuronal structures in electron microscopic stacks. Using the same network trained on transmitted light microscopy images (phase contrast and DIC) we won the ISBI cell tracking challenge 2015 in these categories by a large margin. Moreover, the network is fast. Segmentation of a 512x512 image takes less than a second on a recent GPU. The full implementation (based on Caffe) and the trained networks are available at http://lmb.informatik.uni-freiburg.de/people/ronneber/u-net.
K. Zhan and Jinhui Shi and Haibo Wang and Yuange Xie and Qiaoqiao Li;2016;f2ce025d161fc4a4b04f95f7ebec8f4548e2b6a2;Computational Mechanisms of Pulse-Coupled Neural Networks: A Comprehensive Review;Pulse-coupled neural networks (PCNN) have an inherent ability to process the signals associated with the digital visual images because it is inspired from the neuronal activity in the primary visual area, V1, of the neocortex. This paper provides insight into the internal operations and behaviors of PCNN, and reveals the way how PCNN achieves good performance in digital image processing. The various properties of PCNN are categorized into a novel three-dimensional taxonomy for image processing mechanisms. The first dimension specifies the time matrix of PCNN, the second dimension captures the firing rate of PCNN, and the third dimension is the synchronization of PCNN. Many examples of processing mechanisms are provided to make it clear and concise.
